mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
18	18	143/2	143/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	286						
18	18	287/4	287/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	287						
19	19	72	72	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	288						33
19	19	289/4	289/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	289						33
19	19	145/2	145/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	290						
19	19	291/4	291/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	291						
19	19	73	73	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	292						
19	19	293/4	293/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	293						
19	19	147/2	147/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	294						
19	19	295/4	295/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	295						
19	19	74	74	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	296						
19	19	297/4	297/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	297						
19	19	149/2	149/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	298						
19	19	299/4	299/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	299						
19	19	75	75	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	300						
19	19	301/4	301/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	301						
19	19	151/2	151/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	302						
19	19	303/4	303/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	303						
20	20	76	76	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	304						34
20	20	305/4	305/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	305						34
20	20	153/2	153/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	306						
20	20	307/4	307/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	307						
20	20	77	77	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	308						
20	20	309/4	309/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	309						
20	20	155/2	155/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	310						
20	20	311/4	311/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	311						
20	20	78	78	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	312						35
20	20	313/4	313/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	313						35
20	20	157/2	157/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	314						
20	20	315/4	315/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	315						
20	20	79	79	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	316						
20	20	317/4	317/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	317						
20	20	159/2	159/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	318						
20	20	319/4	319/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	319						
21	21	80	80	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	320						36
21	21	321/4	321/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	321						36
21	21	161/2	161/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	322						
21	21	323/4	323/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	323						
21	21	81	81	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	324						
21	21	325/4	325/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	325						
21	21	163/2	163/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	326						
21	21	327/4	327/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	327						
21	21	82	82	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	328						37
21	21	329/4	329/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	329						37
21	21	165/2	165/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	330						
21	21	331/4	331/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	331						
21	21	83	83	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	332						
21	21	333/4	333/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	333						
21	21	167/2	167/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	334						
21	21	335/4	335/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	335						
22	22	84	84	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	336						38
22	22	337/4	337/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	337						38
22	22	169/2	169/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	338						
22	22	339/4	339/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	339						
22	22	85	85	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	340						
22	22	341/4	341/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	341						
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	342						
22	22	86	86	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	343						
22	22	345/4	345/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	344						
22	22	173/2	173/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	345						
22	22	347/4	347/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	346						
22	22	87	87	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	347						
22	22	349/4	349/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	348						
22	22	175/2	175/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	349						
22	22	351/4	351/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	350						
23	23	88	88	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	351						
23	23	353/4	353/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	352						
23	23	177/2	177/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	353						
23	23	355/4	355/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	354						
23	23	89	89	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	355						
23	23	357/4	357/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	356						
23	23	179/2	179/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	357						
23	23	359/4	359/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	358						
23	23	90	90	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	359						
23	23	361/4	361/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	360						
23	23	181/2	181/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	361						
23	23	363/4	363/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	362						
23	23	91	91	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	363						
23	23	365/4	365/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	364						
23	23	183/2	183/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	365						
23	23	367/4	367/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	366						
24	24	92	92	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	367						39
24	24	369/4	369/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	368						39
24	24	185/2	185/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	369						
24	24	371/4	371/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	370						
24	24	93	93	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	371						40
24	24	373/4	373/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	372						40
24	24	187/2	187/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	373						
24	24	375/4	375/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	374						
24	24	94	94	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	375						
24	24	377/4	377/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	376						
24	24	189/2	189/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	377						
24	24	379/4	379/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	378						
24	24	95	95	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	379						
24	24	381/4	381/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	380						
24	24	191/2	191/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	381						
24	24	383/4	383/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	382						
25	25	96	96	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	383						41
25	25	385/4	385/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	384						41
25	25	193/2	193/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	385						
25	25	387/4	387/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	386						
25	25	97	97	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	387						
25	25	389/4	389/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	388						
25	25	195/2	195/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	389						
25	25	391/4	391/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	390						
25	25	98	98	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	391						
25	25	393/4	393/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	392						
25	25	197/2	197/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	393						
25	25	395/4	395/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	394						
25	25	99	99	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	395						
25	25	397/4	397/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	396						
25	25	199/2	199/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	397						
25	25	399/4	399/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	398						
26	26	100	100	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	399						42
26	26	401/4	401/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	400						42
26	26	201/2	201/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	401						
26	26	403/4	403/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	402						
26	26	101	101	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	403						
26	26	405/4	405/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	404						
26	26	203/2	203/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	405						
26	26	407/4	407/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	406						
26	26	102	102	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	407						43
26	26	409/4	409/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	408						43
26	26	205/2	205/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	409						
26	26	411/4	411/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	410						
26	26	103	103	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	411						44
26	26	413/4	413/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	412						44
26	26	207/2	207/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	413						
26	26	415/4	415/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	414						
27	27	104	104	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	415						45
27	27	417/4	417/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	416						45
27	27	209/2	209/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	417						
27	27	419/4	419/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	418						
27	27	105	105	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	419						
27	27	421/4	421/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	420						
27	27	211/2	211/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	421						
27	27	423/4	423/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	422						
27	27	106	106	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	423						46
27	27	425/4	425/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	424						46
27	27	213/2	213/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	425						
27	27	427/4	427/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	426						
27	27	107	107	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	427						
27	27	429/4	429/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	428						
27	27	215/2	215/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	429						
27	27	431/4	431/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	430						
28	28	108	108	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	431						
28	28	433/4	433/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	432						
28	28	217/2	217/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	433						47
28	28	435/4	435/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	434						47
28	28	109	109	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	435						
28	28	437/4	437/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	436						
28	28	219/2	219/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	437						
28	28	439/4	439/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	438						
28	28	110	110	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	439						
28	28	441/4	441/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	440						
28	28	221/2	221/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	441						
28	28	443/4	443/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	442						
28	28	111	111	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	443						
28	28	445/4	445/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	444						
28	28	223/2	223/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	445						
28	28	447/4	447/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	446						
29	29	112	112	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	447						
29	29	225/2	225/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	448						48
29	29	451/4	451/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	449						48
29	29	113	113	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	450						48
29	29	453/4	453/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	451						48
29	29	227/2	227/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	452						48
29	29	455/4	455/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	453						48
29	29	114	114	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	454						
29	29	457/4	457/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	455						49
29	29	229/2	229/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	456						49
29	29	459/4	459/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	457						49
29	29	115	115	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	458						49
29	29	461/4	461/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	459						49
29	29	231/2	231/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	460						49
29	29	463/4	463/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	461						49
30	30	116	116	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	462						
30	30	465/4	465/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	463						50
30	30	233/2	233/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	464						50
30	30	467/4	467/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	465						50
30	30	117	117	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	466						50
30	30	469/4	469/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	467						50
30	30	235/2	235/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	468						50
30	30	471/4	471/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	469						50
30	30	118	118	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	470						
30	30	473/4	473/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	471						51
30	30	237/2	237/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	472						51
30	30	475/4	475/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	473						51
30	30	119	119	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	474						51
30	30	477/4	477/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	475						51
30	30	239/2	239/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	476						51
30	30	479/4	479/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	477						51
31	31	120	120	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	478						
31	31	481/4	481/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	479						52
31	31	241/2	241/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	480						52
31	31	483/4	483/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	481						
31	31	121	121	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	482						
31	31	485/4	485/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	483						
31	31	243/2	243/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	484						
31	31	487/4	487/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	485						
31	31	122	122	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	486						
31	31	489/4	489/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	487						
31	31	245/2	245/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	488						
31	31	491/4	491/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	489						
31	31	123	123	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	490						
31	31	493/4	493/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	491						
31	31	247/2	247/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	492						
31	31	495/4	495/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	493						
32	32	124	124	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	494						
32	32	497/4	497/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	495						
32	32	249/2	249/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	496						
32	32	499/4	499/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	497						
32	32	125	125	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	498						
32	32	501/4	501/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	499						
32	32	251/2	251/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	500						
32	32	503/4	503/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	501						
32	32	126	126	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	502						
32	32	505/4	505/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	503						
32	32	253/2	253/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	504						
32	32	507/4	507/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	505						
32	32	127	127	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	506						
32	32	509/4	509/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	507						
32	32	255/2	255/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	508						
32	32	511/4	511/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	509						
33	33	128	128	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	510						
33	33	513/4	513/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	511						
33	33	257/2	257/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	512						
33	33	515/4	515/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	513						
33	33	129	129	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	514						
33	33	517/4	517/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	515						
33	33	259/2	259/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	516						
33	33	519/4	519/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	517						
33	33	130	130	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	518						
33	33	521/4	521/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	519						
33	33	261/2	261/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	520						
33	33	523/4	523/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	521						
33	33	131	131	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	522						
33	33	525/4	525/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	523						
33	33	263/2	263/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	524						
33	33	527/4	527/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	525						
33	33	130	130	0.25	1/2	1/2	Chord	4/4	1	2	1/16	1/16	1	526						
33	33	521/4	521/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16	1/16	1	527						
33	33	261/2	261/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	528						
33	33	523/4	523/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	529						
33	33	131	131	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	530						
33	33	525/4	525/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	531						
33	33	263/2	263/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	532						
33	33	527/4	527/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	533						
34	34	132	132	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	534						
34	34	529/4	529/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	535						
34	34	265/2	265/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	536						
34	34	531/4	531/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	537						
34	34	133	133	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	538						
34	34	533/4	533/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	539						
34	34	267/2	267/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	540						
34	34	535/4	535/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	541						
34	34	134	134	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	542						
34	34	537/4	537/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16	1/16	1	543						
34	34	269/2	269/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	544						
34	34	539/4	539/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	545						
34	34	135	135	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	546						
34	34	541/4	541/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	547						
34	34	271/2	271/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	548						
34	34	543/4	543/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	549						
34	34	132	132	0.25	0	0	Chord	4/4	1	2	1/16	1/16	1	550						
34	34	529/4	529/4	0.25	1/16	1/16	Chord	4/4	1	2	1/16	1/16	1	551						
34	34	265/2	265/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	552						
34	34	531/4	531/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	553						
34	34	133	133	0.25	1/4	1/4	Chord	4/4	1	2	1/16	1/16	1	554						
34	34	533/4	533/4	0.25	5/16	5/16	Chord	4/4	1	2	1/16	1/16	1	555						
34	34	267/2	267/2	0.25	3/8	3/8	Chord	4/4	1	2	1/16	1/16	1	556						
34	34	535/4	535/4	0.25	7/16	7/16	Chord	4/4	1	2	1/16	1/16	1	557						
34	34	134	134	0.25	1/2	1/2	Chord	4/4	1	2	1/16	1/16	1	558						
34	34	537/4	537/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16	1/16	1	559						
34	34	269/2	269/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	560						
34	34	539/4	539/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	561						
34	34	135	135	0.25	3/4	3/4	Chord	4/4	1	2	1/16	1/16	1	562						
34	34	541/4	541/4	0.25	13/16	13/16	Chord	4/4	1	2	1/16	1/16	1	563						
34	34	271/2	271/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	564						
34	34	543/4	543/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	565						
35	35	136	136	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	566						
35	35	545/4	545/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	567						
35	35	273/2	273/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	568						
35	35	547/4	547/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	569						
35	35	137	137	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	570						
35	35	549/4	549/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	571						
35	35	275/2	275/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	572						
35	35	551/4	551/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	573						
35	35	138	138	0.25	1/2	1/2	Chord	4/4	1	1	1/16	1/16	1	574						
